A1,A2,A3,EXP1_T2,EXP2_T2,EXP3_T2,EXP4_T2,EXP5_T2,EXP6_T2,EXP7_T2,EXP8_T2,PS1_T2,PS2_T2,PS3_T2,PS4_T2,PS5_T2,PSI1_T2,PSI2_T2,PSI3_T2,PSI4_T2,PSI5_T2,EA1_T2,EA2_T2,EA3_T2,EA4_T2,IMC1_T2,SP1_T2,SP2_T2,SP3_T2,SP4_T2,MV1_T2,MV2_T2,UBI1_T2,UBI2_T2,UBI3_T2,UBI4_T2,IPB1_T2,IPB2_T2,IPB3_T2,IPB4_T2,IPB5_T2,IPB6_T2,IMC2_T2,MA1_T2,MA2_T2,MA3_T2,TA1_T2,TA2_T2,TA3_T2,PEER1,PEER2,PEER3,MOOD1_T2,MOOD2_T2,L1
DUYETA,1,1,9,10.6,4,5,5,5,1,2,4,4,5,4,5,5,4,4,3,4,5,7,7,5,3,5,5,6,7,7,7,5,4,3,4,3,6,6,6,4,7,6,3,5,3,5,2,4,2,4,4,5,4,1
TEST02,3,0,9,0.7,1,12,1,4,5,4,4,4,4,4,3,2,2,1,4,2,4,4,2,4,3,3,3,2,4,4,5,3,3,4,3,2,1,2,4,2,4,3,5,3,5,4,3,3,4,4,4,3,4,1
CHECK1,1,0,28,11.4,5,8,5,4,2,4,6,5,4,3,5,5,6,4,4,5,6,5,4,5,3,6,6,5,5,5,4,4,3,4,5,22,6,6,6,5,4,6,3,5,4,4,4,5,2,1,2,3,3,1
DONEV3,4,1,5,0.4,1,1,1,2,1,4,6,5,4,4,3,3,4,3,4,2,2,4,4,4,3,4,5,5,5,4,5,3,3,3,4,9,4,5,4,4,3,3,4,4,5,2,4,3,2,1,3,3,4,0
FILEV4,2,1,4,13.3,5,7,5,1,6,4,5,6,5,5,5,4,4,3,4,3,5,5,3,6,3,4,5,5,5,4,5,4,6,3,4,19,6,6,6,4,6,7,6,4,5,4,3,3,4,3,1,4,3,1
COPY01,2,1,37,11.1,5,2,5,5,4,3,6,4,5,5,4,2,4,5,3,3,4,4,2,2,3,5,5,4,5,4,5,4,3,5,5,7,2,1,3,4,4,3,4,5,3,4,5,2,5,4,4,3,4,1
NHAN77,2,1,10,1.5,2,2,3,3,1,3,4,4,4,4,3,2,4,1,4,2,5,3,4,3,7,,4,5,4,4,5,2,2,2,2,0,2,2,2,4,4,4,1,5,1,4,4,3,2,4,4,2,5,0
CHYEN2,2,1,0,2.2,3,0,1,4,1,3,3,4,3,5,3,4,5,4,4,4,4,3,2,2,3,5,3,4,4,5,6,3,2,2,2,3,2,4,3,2,2,3,3,4,2,4,4,4,4,3,4,3,4,1
BANDO1,3,1,19,4.8,3,14,5,1,1,2,4,5,5,3,3,3,6,6,4,4,5,2,2,4,3,3,3,2,3,4,5,4,4,3,4,4,3,3,4,3,4,3,4,4,4,3,4,3,5,5,4,3,2,0
PLAN02,2,1,1,3.1,2,3,1,2,3,3,6,4,3,4,3,3,3,4,1,,4,3,3,2,3,4,5,3,3,5,5,1,1,1,1,1,3,5,3,4,3,4,4,5,2,4,3,4,1,3,2,5,4,1
KPI100,4,1,2,0.9,1,1,1,4,2,1,7,7,7,5,6,3,3,5,4,5,4,4,3,4,3,5,3,3,2,4,3,4,4,2,5,3,1,1,1,2,3,1,3,5,4,4,3,5,2,2,4,4,4,0
LIST01,1,1,2,4.4,3,0,3,2,4,1,2,4,1,4,3,5,3,4,5,3,5,4,5,5,3,3,2,2,3,3,3,2,2,3,3,2,4,3,2,3,4,2,4,3,4,3,4,3,2,2,4,3,3,1
MAIL03,2,1,22,3,2,0,2,3,1,3,5,4,6,5,3,1,3,1,2,3,2,1,2,1,3,2,2,1,4,4,3,3,3,2,2,2,1,1,1,1,2,1,3,5,5,5,3,5,3,3,3,5,5,0
NOTE01,2,0,34,6.3,4,2,3,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,1,5,5,5,5,2,1,1,5,5,5,2,5,5,5,5,5,5,2,3,3,4,4,0
BDSM01,4,0,5,4.2,2,3,3,1,5,3,4,6,7,5,5,2,4,4,3,5,4,2,3,3,3,4,3,3,3,5,5,2,4,2,5,7,4,5,5,4,5,4,3,5,3,5,4,5,1,3,3,3,4,0
DRAFT1,1,1,13,5.9,3,16,4,5,4,3,5,7,5,5,4,3,3,3,3,2,5,6,4,4,3,3,4,3,5,4,4,3,5,4,3,3,6,6,7,6,6,7,5,3,4,4,6,2,3,5,4,4,3,1
FINAL2,1,0,1,0.9,1,3,1,2,4,4,5,2,3,4,3,3,2,,2,3,4,2,3,2,3,4,3,3,4,4,3,4,2,3,2,11,3,4,2,3,3,2,1,5,2,2,4,3,2,3,4,5,4,1
OKIE01,1,1,17,2.4,3,0,2,2,1,1,5,4,3,4,4,3,4,5,4,4,6,6,6,6,3,7,6,5,5,5,4,4,5,4,3,5,4,6,4,5,4,4,5,4,6,2,6,3,2,3,1,3,3,1
SEND99,1,1,1,0.9,1,0,1,3,1,2,3,2,4,3,3,1,4,4,3,3,3,3,2,4,3,4,4,4,3,5,5,1,3,3,3,2,2,1,3,3,2,3,5,4,4,4,5,4,2,1,1,5,5,0
LINK01,2,1,2,2.8,3,4,4,1,2,4,7,6,5,6,5,2,6,5,5,5,5,2,4,5,3,4,5,4,3,4,4,4,4,3,4,16,6,5,7,5,6,5,3,4,5,5,3,5,4,5,5,4,4,1
XMSV02,2,1,15,10,4,3,4,3,1,3,5,4,7,6,6,3,5,4,3,2,6,6,5,4,3,5,5,6,4,4,5,3,5,4,4,1,3,2,4,3,4,2,3,5,2,3,4,3,5,3,3,5,4,1
ARCHIE,1,1,9,2.8,1,0,2,1,5,2,4,4,5,6,5,6,5,4,4,6,4,4,4,3,3,4,3,3,5,4,4,3,5,3,5,15,6,6,4,3,5,6,3,5,3,4,4,4,3,3,5,3,4,0
VT2801,1,1,16,10.7,5,8,5,2,1,2,3,5,4,4,,1,,2,4,1,4,,7,3,3,4,5,3,4,7,7,5,5,3,4,7,6,6,7,5,7,6,4,6,3,4,4,5,2,3,4,3,5,0
YH1509,2,1,2,2.8,4,2,3,3,1,1,4,5,3,3,4,7,6,4,6,5,5,3,3,2,3,3,4,4,5,5,6,5,3,3,2,4,2,1,2,1,4,2,5,5,3,5,3,6,7,3,4,3,4,0
LX1002,3,1,8,1.9,1,1,2,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,0,1,1,3,3,3,1,3,3,3,3,3,3,3,3,1,2,3,0
HU2311,2,1,13,2.3,2,1,4,2,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,6,4,4,4,4,4,4,5,3,4,4,4,3,4,4,4,4,4,4,2,2,2,3,4,0
UB1507,2,1,1,3.3,2,1,2,4,4,4,3,5,4,4,4,5,5,4,4,5,2,2,2,5,3,2,3,1,1,4,5,3,2,3,3,8,4,3,4,4,5,4,3,5,3,1,7,1,4,4,1,2,3,0
QB2209,3,1,13,3.2,2,9,3,2,1,3,5,4,6,4,3,4,3,6,6,4,6,3,5,4,3,2,4,2,5,5,5,4,5,4,4,4,4,3,4,3,3,4,3,6,3,3,3,4,4,3,2,3,4,0
PP2809,3,1,20,2.7,4,4,4,3,3,3,5,4,5,5,4,3,5,2,5,4,5,5,5,4,3,3,4,2,2,4,4,5,5,4,5,2,3,4,3,4,3,4,5,5,4,4,4,4,3,3,3,2,2,0
GY2412,1,1,10,2.2,3,2,3,2,3,4,6,4,3,4,4,4,6,6,7,,5,5,5,5,3,3,4,3,5,4,4,3,4,2,3,16,6,5,5,7,6,6,2,5,4,4,4,7,2,3,5,4,4,1
RV1502,3,0,36,3.4,2,3,3,3,1,4,7,6,7,7,5,4,3,4,5,5,6,,7,5,3,5,5,4,4,4,4,5,4,4,5,19,6,6,7,7,7,7,3,6,3,3,4,3,3,1,4,4,3,0
SA2410,2,1,7,6.5,4,10,4,2,1,3,6,5,5,4,4,4,3,5,4,4,4,2,2,4,3,4,4,4,6,5,5,5,2,4,4,7,4,4,4,3,4,5,3,6,3,4,4,4,5,2,6,3,3,1
CJ1609,1,1,3,2.3,2,1,2,2,1,2,2,3,2,2,4,1,2,4,3,2,4,3,3,4,3,5,3,5,4,3,3,4,2,4,2,3,3,2,3,3,3,4,5,4,6,2,5,3,4,5,5,2,2,1
WP1206,1,1,1,2.7,1,0,2,1,1,3,4,5,4,4,4,3,3,4,,3,4,5,4,3,3,1,3,3,2,4,2,3,1,2,3,0,2,1,3,2,4,4,3,6,1,5,3,4,4,4,4,2,2,0
VL2809,2,1,9,2.3,2,0,2,3,2,2,1,3,1,2,4,4,4,5,5,5,3,3,2,3,3,3,3,1,2,2,2,3,2,2,3,2,2,3,3,3,4,2,6,5,4,3,6,2,4,3,5,3,4,0
YU0808,4,1,11,4.3,4,5,4,4,1,4,4,4,3,3,3,5,6,5,5,6,4,4,3,5,3,2,3,2,1,5,4,6,6,2,5,2,3,4,4,4,4,5,5,5,3,5,5,4,1,3,3,3,3,0
KY2204,1,1,37,4.2,4,5,5,4,1,3,4,7,5,4,6,4,3,3,3,4,3,4,3,1,3,2,2,2,3,2,3,4,2,4,2,3,4,4,4,4,5,3,3,3,4,5,5,4,2,3,3,4,3,0
JZ1112,2,1,8,4.4,4,11,3,4,3,2,5,5,4,5,3,4,3,4,2,,5,2,3,3,3,5,4,5,5,3,3,3,3,1,3,17,3,3,2,4,6,3,5,2,4,3,4,4,3,4,2,3,3,0
RO0610,3,1,5,2.1,1,6,2,2,3,1,3,5,3,4,4,4,1,3,4,3,4,4,3,5,3,5,4,7,5,7,7,4,4,3,4,3,4,5,4,4,7,4,1,6,5,5,4,4,2,5,3,5,4,0
VV0502,2,1,1,4.2,2,2,3,3,2,3,6,7,4,7,7,6,4,3,5,5,4,3,3,5,3,4,5,5,4,3,2,5,4,4,5,8,4,6,4,5,4,4,6,4,4,5,5,4,3,3,2,4,4,0
RI2812,2,1,2,14.4,4,13,4,4,5,4,3,3,5,3,5,4,4,4,4,4,5,6,4,5,3,4,6,3,6,5,5,4,4,4,5,10,4,6,3,4,6,5,3,3,4,3,5,3,4,3,3,3,4,0
AN0107,2,0,2,1.3,2,3,3,3,3,1,4,5,5,4,5,4,4,,4,4,4,4,4,4,3,3,3,5,3,6,6,4,3,4,3,2,4,4,4,5,5,3,3,3,2,4,4,5,4,4,3,4,3,0
HN2409,3,1,10,3.1,1,4,2,1,1,2,7,7,6,7,7,2,2,2,3,2,6,2,3,2,3,4,4,4,3,4,3,4,3,4,4,8,5,3,4,4,4,5,3,4,3,4,5,4,3,3,4,3,4,1
VM2110,2,0,9,3.2,4,3,4,5,2,4,3,4,4,2,4,3,4,5,2,4,5,4,4,5,3,1,2,2,4,6,6,4,3,4,4,0,1,1,3,3,3,1,3,5,3,5,4,4,3,5,3,5,5,0
AP2408,2,1,5,6.5,2,5,2,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,2,4,4,5,5,5,4,5,5,5,5,5,5,3,1,2,3,2,0
LY1308,2,1,3,5.1,2,0,4,2,5,1,4,5,4,5,4,2,4,3,3,4,6,3,4,4,3,3,4,4,3,5,4,4,3,5,4,0,5,3,3,5,4,4,1,5,3,4,3,5,4,2,2,1,2,1
CE0205,1,1,7,16.4,5,25,5,1,2,4,3,4,2,3,1,3,2,3,3,3,4,5,2,4,3,6,5,4,4,4,2,2,4,3,2,12,4,3,4,3,4,4,5,4,3,3,2,3,2,4,2,5,4,0
NW0402,3,1,0,3.9,2,0,3,2,1,4,3,6,6,4,5,5,5,5,4,5,6,4,5,5,3,2,4,3,4,5,5,4,4,4,4,2,2,2,4,2,5,3,4,5,4,4,5,4,2,6,3,5,5,0
DP2410,1,1,28,9.9,5,3,5,2,3,2,6,6,6,7,5,5,4,5,3,4,7,6,6,7,3,3,4,2,3,3,3,4,6,4,3,2,2,2,5,4,5,3,6,2,5,5,6,4,4,5,5,3,3,0
SX2408,4,1,22,2.9,4,7,4,3,3,4,3,3,2,1,3,4,5,4,5,6,6,7,4,6,3,4,4,4,5,4,4,3,3,2,4,1,5,5,5,5,6,6,4,3,4,4,4,4,4,2,4,3,3,0
RM2308,2,1,1,2.2,2,2,1,3,2,3,6,6,6,4,4,3,4,4,4,4,4,3,5,3,3,4,4,1,4,5,5,4,4,3,4,2,4,4,3,3,5,3,5,3,5,5,3,4,4,4,4,3,3,1
AG2010,2,0,4,3.3,1,3,1,2,3,4,3,3,3,3,2,4,5,5,5,5,4,3,3,3,3,3,3,4,4,5,7,4,3,4,2,6,1,1,1,1,4,1,4,4,5,4,4,3,4,3,5,4,3,0
RZ0612,1,0,21,5.4,4,9,5,5,4,4,5,6,6,4,6,5,6,6,5,6,2,3,2,3,3,5,5,5,5,4,4,3,5,3,3,7,5,5,5,5,5,6,4,4,2,4,3,3,4,3,4,3,4,0
RX1606,1,1,24,2.6,4,3,3,2,1,4,4,4,4,3,3,5,4,3,5,3,5,6,5,6,3,1,4,4,5,5,5,5,4,4,3,4,3,4,2,3,6,4,4,4,3,4,4,4,7,4,4,4,4,0
OF1811,2,1,11,2.2,3,0,3,2,1,3,6,5,6,6,5,2,2,2,3,2,3,2,3,3,3,5,4,6,6,5,4,3,4,4,4,14,5,4,6,3,6,5,4,5,3,5,2,5,4,4,4,3,3,0
ZZ1001,1,1,9,4.8,4,0,3,4,6,3,5,6,5,3,3,3,4,6,5,4,6,6,6,4,3,5,4,5,5,4,5,4,6,4,3,5,4,3,3,5,3,4,1,5,3,4,5,6,5,4,5,2,2,0
GL1902,1,1,0,2.7,1,1,2,2,6,4,4,3,3,2,2,3,3,4,4,3,2,2,2,1,3,4,5,4,5,7,7,2,3,3,2,2,1,2,1,1,3,1,5,5,3,5,3,4,3,2,1,3,3,0
VO2610,3,0,3,0.9,1,2,1,3,3,1,2,4,4,1,1,1,2,2,1,2,4,4,3,5,3,6,3,4,3,3,4,2,2,1,3,11,2,2,2,3,3,3,5,4,4,2,5,3,5,4,5,5,4,1
EK0804,2,1,3,5,3,9,3,4,2,1,3,5,4,3,4,3,3,4,3,2,5,5,5,4,3,3,4,4,3,5,5,5,4,3,3,5,4,4,4,5,3,4,4,5,3,5,3,6,3,3,3,4,4,0
XY2302,2,1,26,10.6,2,6,3,3,3,3,5,4,4,5,5,3,5,2,3,3,4,4,3,2,3,5,4,4,5,5,6,3,5,3,2,2,2,3,3,3,4,3,4,3,4,5,6,4,4,3,4,4,4,1
KE0911,1,1,3,3.1,2,2,3,4,3,1,6,5,5,4,5,3,3,4,3,4,4,3,2,4,3,4,5,4,3,4,4,4,4,3,5,4,3,2,5,4,3,4,5,4,5,5,3,6,4,3,5,4,4,0
KF0603,2,1,5,2.1,2,5,2,3,6,1,5,5,7,6,5,3,3,2,2,2,5,5,5,7,3,4,4,5,3,6,7,5,3,3,4,0,1,1,1,3,1,2,4,6,4,5,3,5,4,3,3,3,3,1
MG0906,1,0,0,1,1,4,1,3,5,1,4,4,5,5,4,3,4,4,5,1,5,2,2,2,3,2,3,2,2,5,5,1,2,2,2,1,4,3,3,3,5,4,3,6,3,2,7,3,3,2,3,5,5,0
LN1306,4,1,43,10.7,5,13,5,5,3,4,7,6,7,7,7,5,4,5,5,2,5,3,3,3,3,5,6,5,5,6,5,5,4,4,3,6,6,5,5,6,6,6,6,5,4,3,3,5,5,5,5,4,4,1
FP1607,2,0,33,21.9,5,24,5,3,1,3,5,4,3,3,3,7,7,6,6,6,6,4,5,5,3,5,7,6,6,3,4,4,3,5,4,11,6,6,6,7,7,7,5,3,4,2,4,3,6,3,5,2,3,0
DN2605,1,0,6,2.1,1,1,1,5,5,2,4,5,3,3,3,5,5,4,5,5,3,2,3,3,3,4,5,3,6,3,1,3,3,5,2,3,4,3,3,3,5,4,6,3,6,4,5,5,3,4,3,4,3,1
MG1803,4,1,7,5.1,1,0,2,4,2,3,4,4,3,4,4,3,5,5,4,3,3,3,2,3,3,1,1,2,1,4,4,3,2,4,4,1,2,2,3,4,3,3,2,6,2,4,3,4,5,3,3,3,3,0
XH1205,4,1,3,6.8,4,0,3,1,3,4,5,4,5,3,4,5,5,3,5,4,4,5,3,4,3,4,5,4,3,5,5,5,4,3,5,3,3,2,4,2,3,4,2,6,2,4,4,4,4,2,3,2,3,0
RA1912,2,1,6,2,2,0,3,2,3,1,5,5,4,,4,1,1,2,2,1,4,6,5,,3,5,5,6,6,5,4,3,5,2,3,0,2,2,2,4,3,3,3,4,4,4,4,3,3,3,3,4,3,0
MG2512,1,1,20,1.1,4,2,4,3,1,1,4,3,2,5,3,5,6,5,6,5,6,5,6,5,3,4,3,2,4,3,4,5,4,4,4,4,6,6,6,5,6,6,5,3,3,4,6,4,2,2,3,3,3,1
UX1309,2,1,44,2.8,2,4,4,3,4,2,4,3,5,4,3,5,3,5,6,5,5,5,6,4,3,3,3,3,2,4,4,3,4,3,3,2,3,3,1,3,4,4,3,3,5,2,5,3,2,5,4,4,4,0
UO2503,1,0,7,3,3,10,2,4,4,3,2,4,4,3,5,2,5,2,5,4,6,6,4,3,3,3,3,2,3,5,5,3,5,3,3,2,4,6,2,3,4,4,3,6,2,3,5,3,1,5,3,4,3,1
NN2004,2,1,22,5.8,3,6,4,5,6,2,4,4,4,5,2,4,4,5,6,2,4,4,4,2,3,4,3,4,5,5,5,4,3,2,3,8,5,5,4,5,4,5,3,5,3,1,7,2,4,5,4,5,4,0
KS1712,2,1,16,2.8,2,0,2,3,1,1,5,4,6,5,7,3,4,4,4,2,3,4,3,4,3,4,5,5,5,5,5,2,3,4,4,0,3,4,4,1,4,4,3,5,2,4,3,6,2,2,2,4,3,0
PQ2201,2,1,5,1.8,3,2,2,3,4,4,3,7,5,5,6,3,4,4,4,3,4,4,6,5,3,4,5,4,5,6,7,3,4,4,6,2,3,3,4,4,7,5,3,4,5,2,7,2,3,2,4,4,3,0
OW0106,2,1,4,4.5,3,2,3,3,2,3,5,4,4,5,4,3,6,4,5,3,2,3,4,,3,4,3,2,4,5,5,2,3,3,1,3,3,4,4,4,4,4,6,4,5,4,3,3,3,3,3,4,3,0
QD0301,3,1,15,9.5,4,1,4,5,3,2,5,4,4,4,3,2,2,3,2,2,5,6,5,5,3,6,4,4,4,5,5,3,2,3,4,3,3,3,5,5,4,4,3,4,4,4,3,6,6,5,3,3,3,1
UY0810,4,1,13,4.3,3,4,3,3,2,2,5,5,5,5,3,2,5,4,4,5,3,2,3,3,3,6,6,6,6,4,2,2,3,3,2,4,5,5,6,5,6,3,5,5,5,3,5,3,4,1,3,4,4,0
CF0809,1,1,7,4,3,0,3,1,1,4,6,,5,4,5,5,4,4,4,4,4,4,4,5,3,5,6,6,6,3,2,5,4,4,5,2,2,2,2,4,3,2,1,6,2,3,5,2,3,3,3,3,3,0
EN1003,3,0,27,5.5,3,1,5,1,5,3,5,4,,4,5,4,3,4,4,4,4,6,4,5,5,4,5,6,6,3,4,5,4,3,3,10,5,5,5,5,4,5,5,5,4,5,2,5,3,4,1,4,3,1
SY2103,1,0,33,29.7,5,1,3,5,2,1,5,7,5,3,4,2,5,4,4,4,4,3,3,3,3,3,3,4,3,5,5,2,7,5,4,11,5,4,7,5,6,4,1,6,2,3,5,2,3,3,3,4,3,1
MY1411,1,0,7,2.5,3,4,3,1,2,1,5,5,2,4,4,5,5,6,6,6,4,2,3,3,3,2,2,2,2,4,4,4,5,4,6,5,1,1,2,3,3,2,5,3,4,3,3,2,3,2,1,2,2,0
BD2611,3,1,21,4.9,5,1,5,1,1,1,3,6,5,5,5,2,3,4,4,3,3,3,2,3,3,6,6,6,5,4,5,5,4,3,4,3,3,5,4,4,4,4,5,4,4,5,5,7,4,3,4,3,3,0
YH0910,1,1,6,2.9,3,0,3,3,5,3,4,5,4,4,3,4,4,4,3,3,6,6,4,4,3,6,6,4,2,3,2,5,4,3,4,7,3,2,5,4,4,3,2,4,3,5,3,4,5,3,4,4,4,0
QS1211,1,1,0,8.9,3,0,2,5,3,4,4,4,3,4,2,5,5,7,4,7,4,3,4,3,3,3,3,2,4,4,4,4,2,3,2,9,2,3,3,4,4,5,3,4,3,2,5,4,5,4,4,3,3,1
SY0105,2,0,9,7.8,3,0,3,3,3,1,5,6,4,5,5,5,5,6,4,5,6,5,3,,3,5,5,6,4,4,4,4,5,4,4,0,1,1,2,1,1,2,1,5,2,4,4,4,3,3,4,4,3,0
NS1904,4,1,6,4.6,2,5,2,3,4,4,5,5,4,5,5,5,6,6,4,5,3,3,5,4,3,5,3,4,5,3,3,4,6,3,3,2,1,1,2,2,2,1,5,5,2,3,7,4,3,3,3,2,3,0
IS0202,1,1,6,3.1,3,4,3,2,1,3,4,5,6,4,5,6,7,7,6,7,5,5,5,5,3,3,4,4,4,3,2,4,4,2,3,8,6,6,7,6,5,6,6,4,6,2,6,3,2,3,2,3,2,0
NR1201,1,1,31,4.9,2,4,2,2,1,3,7,6,4,5,5,5,3,2,4,3,5,4,3,4,3,4,3,3,5,5,4,2,5,2,4,8,3,3,4,3,4,4,4,5,3,4,4,7,5,2,1,2,3,0
XV2605,1,1,13,5.5,4,2,3,2,5,4,4,3,3,4,4,4,5,5,5,3,5,3,4,5,3,1,2,4,4,4,3,5,1,1,3,7,2,2,1,5,2,4,3,6,4,5,3,5,6,3,5,3,3,0
IL2009,3,1,8,3.9,4,10,4,2,1,1,4,4,5,5,4,4,3,5,4,,3,2,2,2,3,6,6,7,6,5,6,3,4,4,4,7,4,4,4,4,2,4,5,5,2,5,3,5,4,2,4,4,4,0
XL1802,2,1,7,4.8,4,3,3,2,1,3,4,5,4,4,4,4,6,5,6,7,5,4,5,3,3,3,5,4,4,5,6,3,4,4,2,1,3,3,6,3,4,4,4,5,2,4,4,4,5,4,3,3,3,0
NA1308,1,1,32,10.8,3,7,4,1,3,2,6,6,5,7,7,7,7,5,5,7,4,4,4,,3,5,7,3,4,3,3,4,6,4,5,11,5,6,4,6,5,4,6,2,4,4,3,4,5,2,3,4,3,0
EN2309,2,1,18,2.2,2,8,3,1,1,1,4,4,3,2,5,3,2,3,2,2,3,3,2,3,3,4,4,6,4,4,4,1,3,3,2,3,3,3,2,3,2,3,3,6,3,2,4,2,3,1,1,2,3,0
QQ2801,1,1,50,15.8,5,13,5,4,1,1,5,6,5,5,5,5,5,6,6,6,6,6,3,5,3,6,5,4,5,5,4,3,5,4,4,31,6,6,4,6,5,6,5,2,6,4,4,5,7,4,3,2,3,1
YW1908,1,0,15,5.1,2,2,2,3,1,2,4,5,4,3,3,5,5,6,5,4,4,6,7,5,3,3,4,5,3,5,5,5,5,4,5,4,5,6,6,5,5,5,4,4,4,2,5,3,2,3,3,4,4,0
TO2106,3,1,4,1.4,2,11,1,3,2,3,4,5,5,4,,4,4,2,4,3,5,4,4,4,3,3,3,4,3,4,5,2,3,5,3,3,1,1,1,2,4,1,2,7,4,5,3,6,4,3,2,4,3,0
LW2708,1,0,16,2.1,3,5,4,2,3,3,7,6,6,6,7,5,4,4,5,4,5,5,4,,3,7,7,7,7,4,4,5,3,3,6,7,4,5,5,4,4,5,3,5,5,2,5,4,3,5,5,3,2,1
NU0410,3,1,25,6.2,2,2,4,3,5,3,3,5,3,4,4,3,4,5,4,2,4,5,4,4,3,2,4,4,3,4,6,3,2,2,5,1,5,6,4,5,6,5,4,3,4,5,3,3,5,4,4,3,3,0
HI0704,2,1,25,3.7,3,5,3,2,2,1,3,3,3,4,3,6,7,3,4,5,3,2,4,2,3,2,3,3,3,5,4,4,4,3,5,3,2,2,2,3,2,2,5,6,4,5,4,4,2,3,3,4,4,0
CA2501,1,1,15,1.5,2,1,2,1,6,4,4,4,3,2,3,2,3,2,3,3,5,3,3,2,3,4,5,4,4,4,4,3,2,4,3,11,2,4,3,4,5,4,6,3,5,5,3,4,2,1,2,3,3,0
WW0606,1,0,15,4.4,3,13,3,2,6,4,6,7,6,6,5,1,2,2,3,1,7,5,5,5,3,6,5,5,4,5,5,3,4,4,3,7,5,3,3,4,5,5,4,4,2,6,2,6,3,3,5,3,3,0
MI2208,2,1,1,1.7,1,1,2,2,3,1,2,2,2,3,4,4,4,4,4,3,4,2,2,2,3,3,4,4,4,4,4,1,1,1,3,3,5,6,5,3,5,5,4,4,7,3,3,4,3,3,4,3,2,0
BJ1608,1,1,9,2.8,2,5,2,3,1,1,4,4,5,4,5,2,3,1,3,1,4,5,5,5,3,4,4,4,3,7,7,2,2,2,2,1,1,1,4,1,1,1,6,5,3,3,4,3,2,1,2,2,2,0
WH0406,1,1,23,10.8,5,18,5,5,2,1,4,7,6,4,5,4,5,6,6,5,5,5,5,6,3,4,4,4,3,3,3,7,6,3,5,2,4,4,5,4,3,5,4,6,4,4,5,4,4,5,6,3,2,0
