id,source,N1,gender,age,A5_tiktok,A5_shopee,A5_lazada,A5_facebook,A5_other,C1,education,occupation,income,relationship,D1,D2,D3,D4,D5,D6,EXP1,EXP2,EXP3,EXP4,EXP5,EXP6,IBT1,IBT2,IBT3,IBT4,IBT5,IBT6,IBT7,IBT8,IBT9,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,IMC1,SE1,SE2,SE3,SE4,SII1,SII2,SII3,SII4,IMC2,IPB1,IPB2,IPB3,IPB4,IPB5,IPB6,CONSIST1,MA1,MA2,MA3,TA1,TA2,TA3,MOOD1,MOOD2,FOMO1,FOMO2,FOMO3,completed_t2
48,1,abc,0,20,0,0,0,1,0,1,3,2,2.0,2,4.0,2.0,3.0,3.0,4.0,0.0,21,8.3,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2,5.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,0
49,1,abcd,0,21,1,0,0,0,0,3,2,1,1.0,1,1.0,2.0,3.0,2.0,5.0,5.0,17,9.9,3.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,6.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,6.0,0,4.0,5.0,1.0,2.0,3.0,7.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,0
50,1,abcde,0,20,1,1,0,0,0,1,3,1,1.0,2,1.0,3.0,2.0,4.0,3.0,4.0,19,3.3,4.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,0
51,1,abcdef,0,19,1,0,0,0,0,2,3,1,1.0,1,1.0,1.0,2.0,1.0,4.0,2.0,19,1.5,1.0,2.0,2.0,3.0,5.0,1.0,4.0,7.0,6.0,4.0,4.0,4.0,3.0,4.0,5.0,7.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,6.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,0,0.0,2.0,2.0,5.0,4.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,0
52,0,AG2010,2,24,0,1,1,0,0,2,3,1,3.0,1,2.0,2.0,1.0,0.0,4.0,2.0,9,3.4,1.0,5.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,7.0,5.0,4.0,3.0,3.0,2.0,5.0,6.0,2.0,5.0,6.0,1.0,6.0,6.0,5.0,3.0,5.0,4.0,5.0,4.0,1.0,1,1.0,0.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0,1
53,0,AN0107,0,30,0,1,0,1,0,1,1,5,2.0,1,2.0,4.0,3.0,3.0,4.0,5.0,4,6.6,4.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,1.0,3,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,4.0,1
54,0,AP2408,0,28,1,1,0,1,0,2,1,2,4.0,2,2.0,2.0,2.0,0.0,5.0,1.0,10,3.4,1.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,6.0,4.0,4.0,4.0,2.0,7.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,7.0,1.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,1
55,0,archie,2,27,1,0,0,0,0,2,3,3,2.0,2,1.0,4.0,5.0,4.0,3.0,4.0,26,8.0,3.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,7.0,2.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,7.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,7,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,1
56,1,asdf,0,20,1,0,1,0,0,1,3,1,1.0,1,1.0,2.0,2.0,0.0,2.0,1.0,2,7.7,3.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,6.0,4.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,5.0,2.0,0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,4.0,0
57,1,asdfgh,0,22,0,1,0,1,0,2,3,1,2.0,2,2.0,3.0,3.0,4.0,2.0,5.0,5,7.2,4.0,7.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,7.0,6.0,4.0,6.0,2.0,3.0,2.0,4.0,7.0,3.0,5.0,4.0,6.0,4.0,3.0,4.0,6.0,3.0,4.0,5.0,2,5.0,5.0,5.0,6.0,5.0,6.0,1.0,6.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,0
58,1,asdfghj,0,20,1,1,0,0,0,2,4,4,1.0,1,1.0,1.0,1.0,1.0,3.0,3.0,1,2.2,2.0,4.0,1.0,4.0,5.0,2.0,5.0,3.0,4.0,5.0,1.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,7.0,5.0,4.0,5.0,3.0,5.0,5.0,2.0,7.0,4.0,7.0,5.0,5.0,2.0,4.0,4.0,1.0,0,1.0,2.0,6.0,4.0,4.0,5.0,1.0,7.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,0
59,1,asdfghjk,0,19,1,0,1,0,0,1,1,1,1.0,1,1.0,4.0,3.0,0.0,4.0,2.0,6,4.5,4.0,7.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,0
60,0,BA2312,2,23,1,0,1,0,0,1,3,3,4.0,1,1.0,2.0,3.0,3.0,4.0,0.0,32,6.6,2.0,9.0,2.0,4.0,6.0,3.0,6.0,6.0,7.0,6.0,7.0,1.0,5.0,3.0,5.0,3.0,6.0,5.0,1.0,4.0,1.0,7.0,5.0,2.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,4.0,3.0,4.0,5.0,1.0,10,5.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,1
61,0,BA2609,2,26,0,1,0,0,0,2,1,3,2.0,1,2.0,4.0,3.0,2.0,2.0,3.0,9,6.0,4.0,14.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,2.0,1.0,2,1.0,3.0,1.0,2.0,5.0,3.0,3.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,1
62,0,bando1,1,24,1,0,1,1,0,2,1,1,1.0,1,3.0,,5.0,3.0,4.0,3.0,10,20.8,5.0,15.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,6.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,7.0,4.0,5.0,3.0,4.0,1.0,3,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,1
63,0,banv2a,1,26,0,1,0,0,0,2,3,4,3.0,3,2.0,4.0,5.0,4.0,5.0,3.0,11,8.6,3.0,21.0,4.0,3.0,7.0,5.0,4.0,4.0,7.0,5.0,5.0,4.0,4.0,3.0,5.0,6.0,5.0,2.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,7.0,6.0,6.0,6.0,2.0,5,4.0,2.0,4.0,2.0,5.0,6.0,3.0,6.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,1
64,1,bbbb,0,21,0,0,0,1,0,1,3,2,1.0,1,4.0,4.0,3.0,4.0,2.0,4.0,4,3.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,6.0,6.0,3.0,5.0,6.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,0
65,1,bbbbb,0,18,0,1,0,0,0,2,2,2,2.0,1,2.0,4.0,4.0,4.0,4.0,3.0,20,4.2,2.0,5.0,3.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,1.0,1,3.0,3.0,3.0,5.0,5.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,1.0,2.0,0
66,1,bbbbbb,0,21,1,1,0,0,0,2,3,1,1.0,1,2.0,3.0,2.0,4.0,4.0,0.0,5,4.7,3.0,7.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,6.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,7.0,5.0,5.0,6.0,3.0,4.0,6.0,5.0,3.0,6.0,2,5.0,5.0,7.0,3.0,5.0,3.0,3.0,7.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,3.0,2.0,0
67,0,BD2611,0,26,0,0,1,0,0,1,3,3,4.0,2,3.0,4.0,4.0,1.0,3.0,5.0,14,3.3,5.0,7.0,3.0,3.0,4.0,6.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,7.0,6.0,4.0,6.0,6.0,7.0,5.0,,6.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,1.0,3,1.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,1
68,0,bdsm01,1,24,0,0,0,1,0,2,4,1,2.0,3,4.0,1.0,1.0,2.0,2.0,2.0,3,3.2,1.0,3.0,1.0,1.0,6.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,7.0,4.0,7.0,1.0,7.0,5.0,3.0,4.0,7.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,1.0,9,1.0,2.0,1.0,3.0,4.0,4.0,2.0,6.0,2.0,4.0,6.0,3.0,3.0,3.0,2.0,4.0,3.0,1
69,0,BE1306,1,24,1,0,1,0,0,2,4,3,4.0,2,1.0,2.0,2.0,0.0,1.0,1.0,6,1.2,1.0,1.0,1.0,2.0,4.0,5.0,3.0,5.0,1.0,4.0,5.0,4.0,2.0,3.0,6.0,7.0,3.0,6.0,3.0,6.0,2.0,5.0,5.0,3.0,5.0,5.0,7.0,6.0,6.0,5.0,4.0,5.0,3.0,4.0,3.0,1.0,0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,6.0,3.0,4.0,4.0,2.0,2.0,2.0,1
70,1,BE2603,1,18,1,0,0,0,0,2,3,1,2.0,1,1.0,3.0,3.0,3.0,1.0,0.0,22,2.6,3.0,5.0,4.0,3.0,5.0,5.0,6.0,4.0,4.0,3.0,5.0,3.0,6.0,1.0,6.0,7.0,5.0,6.0,1.0,5.0,2.0,5.0,5.0,2.0,5.0,7.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,5.0,1.0,5,5.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,0
71,1,BH2005,2,23,1,1,0,0,0,1,3,2,1.0,1,2.0,2.0,2.0,2.0,3.0,2.0,2,1.0,4.0,3.0,2.0,2.0,6.0,5.0,5.0,6.0,5.0,4.0,3.0,5.0,3.0,6.0,4.0,6.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,6.0,4.0,6.0,3.0,6.0,5.0,4.0,1,1.0,1.0,3.0,5.0,6.0,4.0,5.0,4.0,6.0,4.0,6.0,4.0,5.0,3.0,4.0,3.0,4.0,0
72,1,BH3108,2,22,1,0,0,0,0,1,3,2,1.0,1,1.0,1.0,1.0,0.0,1.0,0.0,2,510.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,4.0,6.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,6.0,7.0,5.0,7.0,7.0,7.0,1.0,0,0.0,0.0,2.0,2.0,5.0,2.0,5.0,4.0,6.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,0
73,0,BI1507,2,31,1,0,0,0,0,2,1,3,5.0,2,5.0,4.0,4.0,1.0,2.0,3.0,14,8.4,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,4.0,3.0,5.0,7.0,4.0,4.0,3.0,6.0,1.0,4.0,4.0,5.0,6.0,4.0,5.0,2.0,2.0,4.0,3.0,5.0,3.0,2.0,5.0,1.0,5,2.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,7.0,4.0,3.0,4.0,4.0,4.0,1
74,0,BJ1608,1,29,1,0,1,0,0,2,3,4,1.0,1,1.0,1.0,1.0,0.0,4.0,1.0,5,1.5,1.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,6.0,4.0,3.0,5.0,4.0,3.0,4.0,6.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,1.0,1,0.0,0.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,1
75,0,BO0804,2,29,1,1,0,0,0,2,3,3,5.0,2,1.0,4.0,4.0,1.0,4.0,3.0,20,2.2,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,2.0,4.0,7.0,4.0,7.0,2.0,6.0,2.0,6.0,5.0,4.0,6.0,4.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,2.0,1,1.0,1.0,3.0,2.0,3.0,4.0,6.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,1
76,1,CA0402,1,25,1,1,0,0,0,2,3,3,4.0,2,2.0,2.0,2.0,1.0,2.0,3.0,6,2.0,2.0,5.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,5.0,4.0,3.0,3.0,6.0,7.0,3.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,1,2.0,2.0,3.0,4.0,4.0,4.0,3.0,6.0,5.0,2.0,6.0,4.0,4.0,4.0,3.0,3.0,4.0,0
77,0,CA2501,0,34,1,1,1,0,0,2,1,2,3.0,1,2.0,2.0,2.0,4.0,4.0,5.0,3,1.3,2.0,2.0,1.0,3.0,6.0,4.0,5.0,3.0,5.0,4.0,6.0,4.0,3.0,1.0,7.0,6.0,3.0,7.0,4.0,4.0,3.0,6.0,6.0,3.0,6.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2,4.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,1
78,0,CB1494,2,32,0,1,0,1,0,1,3,3,3.0,1,2.0,1.0,1.0,1.0,5.0,3.0,1,0.2,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,6.0,1.0,4.0,1.0,5.0,6.0,2.0,6.0,1.0,2.0,7.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,4.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,7.0,7.0,7.0,3.0,3.0,1.0,1.0,1.0,0
79,0,CC2003,2,23,1,0,0,0,0,2,3,4,2.0,1,1.0,1.0,1.0,0.0,5.0,0.0,10,0.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,0
80,1,cccc,0,20,1,1,0,0,0,1,1,1,1.0,2,2.0,3.0,3.0,1.0,5.0,2.0,13,11.3,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,0
81,1,ccccc,0,22,1,0,1,0,0,2,3,2,1.0,1,3.0,2.0,3.0,2.0,4.0,4.0,23,4.6,3.0,3.0,4.0,4.0,2.0,3.0,5.0,6.0,5.0,5.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,4.0,1.0,7.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,6.0,5.0,3.0,5.0,2.0,3.0,5.0,2,3.0,3.0,2.0,4.0,4.0,1.0,2.0,5.0,3.0,5.0,2.0,5.0,4.0,2.0,3.0,2.0,3.0,0
82,1,cccccc,0,18,1,0,0,0,0,2,3,1,,2,1.0,2.0,2.0,1.0,2.0,2.0,28,8.7,1.0,2.0,4.0,2.0,4.0,7.0,3.0,6.0,6.0,4.0,6.0,5.0,7.0,4.0,4.0,5.0,3.0,6.0,3.0,6.0,2.0,4.0,3.0,4.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,3.0,2.0,4.0,2.0,2.0,0,0.0,3.0,4.0,1.0,3.0,1.0,3.0,5.0,2.0,3.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,0
83,0,CE0205,0,23,1,0,0,1,0,1,3,2,5.0,2,1.0,,4.0,4.0,5.0,0.0,0,18.1,4.0,4.0,5.0,3.0,5.0,5.0,2.0,4.0,6.0,5.0,6.0,3.0,4.0,3.0,7.0,7.0,6.0,5.0,2.0,7.0,3.0,7.0,6.0,1.0,7.0,6.0,1.0,6.0,7.0,7.0,6.0,4.0,4.0,6.0,6.0,1.0,5,4.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,1
84,0,CF0809,2,31,1,0,0,0,0,2,3,1,2.0,4,5.0,2.0,1.0,0.0,1.0,2.0,1,5.6,2.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,5.0,,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,6.0,6.0,1.0,0,2.0,0.0,3.0,3.0,4.0,3.0,4.0,6.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,1
85,1,chan,0,19,1,0,0,0,0,2,2,1,2.0,1,1.0,1.0,1.0,2.0,2.0,5.0,4,1.9,1.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,6.0,2.0,3.0,3.0,6.0,6.0,2.0,5.0,7.0,5.0,3.0,2.0,4.0,5.0,4.0,7.0,4.0,2.0,5.0,1,4.0,5.0,3.0,5.0,3.0,3.0,3.0,7.0,4.0,6.0,2.0,5.0,5.0,4.0,3.0,2.0,3.0,0
86,1,chanq,0,19,1,0,0,1,0,1,3,4,1.0,1,1.0,2.0,1.0,2.0,1.0,4.0,6,2.8,1.0,5.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,5.0,3.0,6.0,4.0,4.0,3.0,7.0,3.0,7.0,3.0,5.0,4.0,4.0,6.0,2.0,6.0,3.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,1.0,5,2.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,1.0,2.0,2.0,4.0,0
87,1,chanqua,0,20,0,0,0,1,0,3,3,1,1.0,1,4.0,4.0,5.0,2.0,3.0,4.0,7,13.3,5.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,8,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,0
88,0,check1,1,29,1,0,1,0,0,2,3,4,5.0,2,1.0,4.0,4.0,2.0,3.0,3.0,11,12.5,4.0,9.0,4.0,2.0,6.0,5.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,6.0,4.0,4.0,4.0,4.0,6.0,2.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,4.0,5.0,1.0,2,1.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,1.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,1
89,0,chot99,1,28,1,1,0,1,0,1,4,2,6.0,1,2.0,3.0,3.0,1.0,5.0,4.0,10,6.1,2.0,3.0,3.0,3.0,6.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,3.0,7.0,4.0,6.0,7.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,5.0,1.0,1,4.0,5.0,6.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,3.0,1.0,1
90,0,chyen2,1,25,0,1,0,0,0,1,3,2,2.0,3,2.0,2.0,1.0,4.0,4.0,0.0,1,4.6,1.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,3.0,4.0,3.0,5.0,1.0,2,5.0,5.0,6.0,4.0,6.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1
91,1,chán,0,19,1,0,0,0,0,2,3,1,1.0,1,1.0,3.0,3.0,4.0,5.0,5.0,2,4.6,2.0,0.0,4.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,6.0,3.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,4.0,2.0,4.0,2.0,1.0,7,5.0,2.0,5.0,6.0,6.0,7.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,0
92,0,CJ1609,1,25,1,0,1,0,0,2,4,3,3.0,2,1.0,1.0,1.0,2.0,4.0,5.0,6,2.8,1.0,0.0,1.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,2.0,6.0,6.0,4.0,4.0,2.0,6.0,2.0,6.0,4.0,4.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,1.0,3,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,6.0,3.0,3.0,3.0,3.0,2.0,2.0,1
93,0,CM1998,2,26,1,1,1,0,0,2,4,3,4.0,2,1.0,2.0,1.0,1.0,4.0,2.0,8,0.5,1.0,6.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,2.0,5.0,3.0,2.0,3.0,3.0,6.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,5.0,4.0,5.0,6.0,5.0,2.0,3.0,3.0,4.0,1.0,0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,0
94,0,CO0405,2,26,0,0,0,1,0,2,3,3,4.0,4,4.0,3.0,3.0,3.0,4.0,4.0,26,9.1,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,7.0,5.0,5.0,2.0,4.0,3.0,6.0,6.0,3.0,5.0,5.0,5.0,7.0,6.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,1,2.0,2.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,1
95,0,CO1908,2,26,1,0,0,0,0,2,3,3,3.0,1,1.0,2.0,1.0,1.0,3.0,4.0,8,4.0,2.0,6.0,1.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,7.0,3.0,4.0,1.0,4.0,6.0,6.0,7.0,4.0,7.0,3.0,5.0,5.0,3.0,6.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,7.0,6,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,7.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,1
